tic	at
BAM	65620.0000
BAM	53611.0000
BAM	64756.0000
BAM	61902.0000
BAM	78201.0000
BAM	78131.0000
BAM	92559.0000
BAM	91030.0000
BAM	108188.0000
BAM	108644.0000
BAM	119927.0000
BAM	112745.0000
BRER	861.6340
BRID	51.9550
BRID	58.8990
BRID	60.5230
BRID	56.9660
BRID	61.5500
BRID	64.7640
BGG	1833.2940
BGG	1619.0230
BGG	1690.0570
BGG	1666.2180
BGG	1608.2310
BGG	1447.5510
MSGI	9.0700
MSGI	2.0460
MSGI	0.7420
BMY	29552.0000
BMY	31008.0000
BMY	31076.0000
BMY	32970.0000
BMY	35897.0000
BMY	38592.0000
CYSTF	2423.4000
CYSTF	2090.8000
CYSTF	1696.2000
CYSTF	737.6000
CYSTF	978.8000
CYSTF	700.1000
TU	19160.0000
TU	19219.0000
TU	19599.0000
TU	19931.0000
TU	20445.0000
TU	21566.0000
BP	228238.0000
BP	235968.0000
BP	272262.0000
BP	293068.0000
BP	300193.0000
BP	305690.0000
BT	41861.8200
BT	43553.4480
BT	37776.9920
BT	38280.8780
BT	37718.1420
BT	41517.4150
BNSSA	133.3340
BNSSA	129.8640
BNSSA	39.2350
BNSSA	78.6250
BF.B	3475.0000
BF.B	3383.0000
BF.B	3712.0000
BF.B	3477.0000
BF.B	3626.0000
BF.B	4103.0000
CAL	1026.0310
CAL	1040.1500
CAL	1148.0430
CAL	1227.4760
CAL	1171.2590
CAL	1149.4030
BC	3223.9000
BC	2709.4000
BC	2678.0000
BC	2494.0000
BC	2424.2000
BC	2915.8000
MTRN	581.8970
MTRN	621.9530
MTRN	735.4100
MTRN	772.1030
MTRN	814.9170
MTRN	777.9450
0015B	2533.3680
0015B	2393.9940
0015B	2458.0080
0015B	2501.1430
0015B	2478.0820
0015B	2613.9360
CXEE
CXEE	17.6020
CXEE	20.7510
BRK3	36403.0000
BRK3	38675.0000
BRK3	68647.0000
BRK3	70380.0000
BRK3	72016.0000
BRK3	75030.0000
MTZ	1090.8970
MTZ	1363.4490
MTZ	1655.8280
MTZ	2081.1450
MTZ	2407.9340
MTZ	2919.6380
UIS	2824.1000
UIS	2956.9000
UIS	3020.9000
UIS	2612.2000
UIS	2420.4000
UIS	2510.0000
BUKS	25.7980
BUKS	29.5660
BUKS	32.1580
BUKS	40.5620
BUKS	43.8600
BUKS	41.6780
CAE	2676.1000
CAE	2621.9000
CAE	2857.9000
CAE	3183.7000
CAE	3878.7000
CAE	4236.7000
ACXM	1367.3430
ACXM	1363.4200
ACXM	1306.6250
ACXM	1226.8510
ACXM	1187.7060
ACXM	1323.3010
CDI	383.1990
CDI	375.0340
CDI	398.5110
CDI	390.6960
CDI	400.7050
CDI	405.8070
CI	41406.0000
CI	41406.0000
CI	43013.0000
CI	43013.0000
CI	45682.0000
CI	45682.0000
CI	51047.0000
CI	51047.0000
CI	53734.0000
CI	53734.0000
CI	54336.0000
CI	54336.0000
CPICQ	190.5930
CPICQ	166.5910
CPICQ	143.8000
CPICQ	94.5300
CSS	322.2590
CSS	281.7620
CSS	286.9230
CSS	286.5640
CSS	289.1800
CSS	293.5350
CNA	51688.0000
CNA	51688.0000
CNA	55298.0000
CNA	55298.0000
CNA	55331.0000
CNA	55331.0000
CNA	55179.0000
CNA	55179.0000
CNA	58522.0000
CNA	58522.0000
CNA	57194.0000
CNA	57194.0000
CSPI	50.0190
CSPI	40.4860
CSPI	41.3790
CSPI	43.1080
CSPI	51.0660
CSPI	47.2250
CSX	26288.0000
CSX	27036.0000
CSX	28141.0000
CSX	29473.0000
CSX	30571.0000
CSX	31782.0000
CTS	488.4550
CTS	407.6570
CTS	482.5840
CTS	480.8150
CTS	561.1760
CTS	480.2650
6534C	62.7010
6534C	104.9270
6534C	74.8040
6534C	89.8370
6534C	79.1560
6534C	88.6090
CVV	25.2900
CVV	21.6650
CVV	24.3660
CVV	38.5490
CVV	42.5250
CVV	39.1420
HTRN	234.3860
HTRN	249.1190
CBT	2858.0000
CBT	2676.0000
CBT	2886.0000
CBT	3141.0000
CBT	4399.0000
CBT	4233.0000
CACH	119.5250
CACH	110.9970
CACH	85.9900
CACH	84.6450
CACH	74.6250
CACH	51.9710
CACI	1902.6530
CACI	2007.4740
CACI	2244.7660
CACI	2320.1310
CACI	2392.8760
CACI	2501.2650
CDSCY	13003.6010
CAGAQ	91.1520
CAGAQ	87.6190
CAGAQ	90.3130
CAMP	69.6470
CAMP	56.9530
CAMP	55.4850
CAMP	51.4810
CAMP	150.7710
